005349,038031,026492,025151,001416
003334,034714,020967,036468,018452
027793,015637,011505,014184,025711
010896,037354,038461,001951,033569
023972,033280,003664,034058,003746
000934,015267,003690,024257,032504
001314,010660,001472,007130,000810
021096,001329,025331,016235,003141
005728,020382,032260,028491,027274
000338,037703,012749,001370,037915
033264,036070,034611,027023,030637
007058,018897,034444,006478,000962
035275,003129,029176,031921,005842
033932,025282,004715,003408,038803
000809,005041,011942,039510,029207
036536,005752,016035,009775,019175
025913,012173,021454,011363,015010
017716,007891,026139,007792,025301
030407,033594,033789,016677,013565
034413,006267,032363,031339,036524
019859,031796,037438,020456,017238
036637,010284,003185,024896,032613
030122,005169,017548,029570,039424
009471,023336,031604,010592,034373
003457,022079,028594,023094,011338
021865,021867,011972,023785,008465
006195,027828,027049,007637,015744
029063,005673,015479,022347,036597
026584,002662,033566,032094,021243
025793,013312,033039,000540,039415
026801,019425,029537,022547,005724
010689,019533,002491,031211,036298
002393,032420,032302,039410,001715
028914,012584,004401,020964,012314
019446,001617,012544,013817,020328
028620,000974,038939,037438,004048
030578,022930,028938,032794,012281
028838,032397,013531,033138,039267
004291,007363,009641,012341,024032
012085,001069,035666,003516,037535
003979,002247,002939,031169,022102
038403,038630,005301,004190,002993
012341,024187,020579,000251,001133
026908,024430,029152,003076,008391
004057,005588,028936,023322,029662
004361,015759,010322,029826,000596
027650,020372,009995,016125,010097
014915,021223,016654,017198,001684
023496,019242,004622,005547,010625
024341,010430,016193,021540,029063
015602,022479,009925,028652,025984
026660,014119,026721,027088,000299
022213,029830,023508,016875,028350
015234,007725,026948,029590,017689
011071,025301,002733,014935,017386
002472,018740,029532,010786,029707
028428,036293,039314,014211,024556
010087,009646,018960,010748,010454
025317,000045,020124,024606,008327
000450,002477,003431,025014,028886
023124,001278,027303,000388,011326
019907,025827,010304,029497,022330
025095,028690,000667,011953,012478
003005,004290,009861,002002,016527
025418,027227,015551,015912,000733
019439,029213,021414,026002,001820
002869,019110,007546,029308,024229
020511,006744,028742,010733,024677
010857,008934,019974,022876,019489
011478,022344,012269,029843,031566
031219,023796,032543,005966,030987
006800,021003,001038,038855,009832
035621,008266,023881,028404,029624
012863,030443,025280,032731,007062
007855,026073,031492,028981,036346
009744,025574,007298,027290,020122
033007,016094,002630,031561,002057
012048,011071,031388,019714,002644
010274,009281,019088,038201,034775
003084,035004,032814,008921,007310
004065,019469,015493,010010,016758
037736,031177,001167,023021,038686
003125,022856,016512,008388,034579
031273,039564,004989,014258,016052
032992,018777,008771,021023,038344
000183,027707,034963,034362,009619
005744,023809,034963,030633,022081
023463,035188,033495,019706,025441
030715,028774,005353,037345,005381
023275,033208,018351,010771,029791
008509,000720,004283,006022,027429
030102,017913,017992,022300,004616
003173,015316,002521,023458,039559
011895,015758,036337,021465,023856
007023,022366,020337,006882,015877
004323,004987,023625,033865,019390
004941,007668,021982,017078,004758
013847,009773,025881,018023,016484
019696,029444,019456,018026,016396
006363,000420,019271,007665,027352
031904,011818,030094,007604,035301
036246,016373,011073,026621,011219
038121,037989,007131,034146,014528
035196,027418,015175,023613,014789
003071,018662,025114,037602,037136
036387,016798,005070,022913,028121
001986,032704,029107,034795,024984
016775,035004,018642,036707,008023
037228,024912,032910,000231,013431
006253,020350,004868,005406,026237
018871,038709,013645,037241,037457
010508,026487,004356,019569,038182
020710,037471,027921,006751,020818
006835,005911,011349,018861,009948
010777,025705,036332,025777,004573
000913,022333,001185,008548,008101
003313,037694,023029,018955,035775
018957,002658,021866,017143,025429
001120,025631,007795,027862,018565
023499,011600,008383,032665,034831
029229,037990,004501,038823,022310
003089,011478,010970,018100,019796
001516,010526,008856,024044,039861
018918,030034,023360,021716,001531
019313,039706,013523,039148,006696
038957,027111,038757,039392,018956
000221,037773,001631,011344,003722
008857,000906,009646,004143,036487
012768,032710,016881,015742,005524
002250,023374,002613,031794,020640
003706,013495,030519,017470,023020
037064,021694,024161,033814,024392
036210,004297,019259,005599,014578
037033,004838,018850,034777,039069
033613,013624,012540,015100,037782
003447,013837,021079,025290,004686
038048,034587,000523,014218,004166
034986,023734,015630,030470,004364
025342,030801,006693,016335,000278
017055,037234,012234,000614,009689
000295,015985,017614,032663,027126
019074,018537,019831,004045,008171
012787,037807,002976,013612,004618
032405,030853,028650,021194,032022
019018,019467,018509,014472,000411
016783,034478,023276,002699,021781
013271,012574,023312,027788,020120
033154,006990,003598,001719,036487
014618,021298,032816,007806,028238
013892,006408,036626,014518,032861
020701,000080,037093,023722,037108
038270,016704,039365,008943,004462
023855,024916,035324,017614,026346
034648,002884,009547,003696,013917
000576,026243,003895,014587,023615
027542,022910,039319,036894,008282
018550,024816,021428,025862,011338
029378,006741,011343,026316,027216
024344,014568,020291,037551,020475
019730,020115,002418,036272,000402
027055,023702,021578,000116,019588
008400,011336,016429,004032,007675
001540,037183,019226,022226,021708
019366,035170,020379,039419,024183
023117,038538,015627,004142,020592
039498,016159,004728,004178,010057
008917,012568,020096,021758,011689
038291,021661,018230,009771,016278
018426,022394,039915,038917,036366
027785,004022,019369,036210,034281
015364,002361,008800,038392,022129
020895,036735,010263,005137,022536
000495,018973,012518,032057,024290
012401,015407,024209,022109,031485
020571,028908,027361,038281,010312
021211,032342,031510,037369,016909
018883,025298,013246,015183,023659
008564,026334,028514,018617,021345
011692,031896,011903,001554,028983
015021,038658,037546,004901,019681
018813,030358,030193,034365,003026
013512,034383,018242,028599,022998
029298,011301,020406,008642,026034
013406,003564,024412,013857,019206
013202,025745,000474,003421,000600
003738,020265,007997,007375,032630
038876,032923,001978,016569,025228
026974,022201,026685,015627,026080
039208,013485,013776,008982,010564
037132,014191,001251,005162,038325
008997,010759,022913,003623,015082
